,OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
131383,131384,295101000000.0,295101000000.0,29,510,118600,1,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,563.7588971,0.0,563.7588971,544.99613,2349,882.0,768.0,0.662,118,0.153645833,371,0.483072917,279,0.36328125,821,188,258,375,0.228989038,14906,122,347,935,13159,343,122,346,935,667,343,689,11803,1,3009,3968,7929,0.201865021,1.618360116,4.310122349,27.35065293,0.223854801,0.636701769,1.715608513,24.14512558,0.629362267,0.223854801,0.634866893,1.715608513,1.223861902,0.629362267,1.264229161,21.65703452,0.001834875,28.96901305,0,19.40885417,0.309047816,0.309047816,0.410564586,0.410564586,0.373139994,0.180542762,0.184622228,0.375208179,0.272268908,0.104406435,0.055078492,0.38871008,22.55731623,4.800819668,4.010732469,13.74576409,97.66331012,21.56950438,10.21713365,11.35237073,88.54849166,20.43426731,760.42,0.21816667,0.54832737,44.0,49.95043119,0.018731375,188531,132017,215964,129949,0.000922399,0.850357227,0.000820145,0.847262155,0.002216022,0.488376511,0.002146162,0.466559675,7,6,14,14,11.5,8160.597715,2281503.693
131800,131801,295101000000.0,295101000000.0,29,510,126900,5,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,44.2091552,0.0,44.2091552,44.2091552,416,260.0,194.0,0.377,30,0.154639175,127,0.654639175,37,0.190721649,205,76,83,46,0.370731707,5,0,0,0,5,0,0,0,0,0,0,0,5,0,3,2,0,0.6,5.881134775,9.409815639,0.113098746,0.0,0.0,0.0,0.113098746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113098746,0.0,5.99423352,0,0.025773196,0.0,0.0,0.0,0.0,0.16932446,0.138237454,0.153897374,2.85128e-06,0.023752969,0.047619048,41.0,0.0,26.16893272,0.0,9.783037679,16.38589504,120.6627898,0.0,28.95327889,72.38319723,43.42991834,0.0,317.85,0.0,0.0,2.33,33.73056991,0.005600962,163891,125553,166655,106522,0.000801846,0.739220055,0.000779988,0.805777327,0.001710059,0.376870161,0.001759255,0.382449035,2,1,16,17,11.5,1913.978462,178910.1356
131801,131802,295101000000.0,295101000000.0,29,510,116500,3,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,28.8027173,0.0,28.8027173,28.8027173,705,369.0,324.0,0.671,33,0.101851852,152,0.469135802,139,0.429012346,366,99,129,138,0.270491803,49,6,0,2,11,30,6,0,2,0,30,0,11,0,23,23,3,0.469387755,12.81129125,24.47685726,1.701228377,0.208313679,0.0,0.069437893,0.381908411,1.041568394,0.208313679,0.0,0.069437893,0.0,1.041568394,0.0,0.381908411,0.0,14.51251962,0,0.151234568,0.738270834,0.635911883,0.738270834,0.492180556,0.325223414,0.494141011,0.5467085,0.361686332,0.129973475,0.236144578,7.469387755,0.001550175,20.63126494,0.0,0.0,20.63126494,111.1006287,0.0,0.0,0.0,0.0,111.1006287,274.93,0.0,0.0,12.0,266.6415089,0.017021277,177932,139607,238894,163032,0.000870543,0.802551103,0.000867297,0.895973456,0.002451308,0.540229937,0.002692542,0.585338532,5,8,15,18,13.16666667,1373.744095,116563.7233
131893,131894,295101000000.0,295101000000.0,29,510,125600,3,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,192.2139009,0.0,192.2139009,185.12127,2466,1468.0,1404.0,0.939,132,0.094017094,1096,0.780626781,176,0.125356125,1272,275,394,603,0.216194969,22649,139,7729,601,9800,4380,139,7291,601,9337,4380,216,247,438,4556,5042,13051,0.201156784,7.929936954,13.32099764,122.346827,0.750859153,41.75101003,3.246520511,52.93827122,23.66016612,0.750859153,39.38499342,3.246520511,50.437208,23.66016612,1.166802713,1.334260509,2.366016612,130.276764,0,16.13176638,0.72986965,0.72986965,0.647022615,0.647022615,0.741491461,0.541628259,0.594413876,0.378978277,0.196376667,0.106350069,0.05616142,0.389131253,35.67677209,5.653848401,16.22989529,13.7930284,336.3819146,43.28511081,59.93323035,49.94435863,209.7663062,106.5479651,311.14,0.911630145,0.963101254,72.33,240.8316973,0.0293309,171234,121525,437643,278082,0.000837773,0.772340195,0.000754964,0.779926323,0.004490686,0.989676804,0.004592641,0.998405894,17,13,20,18,17.66666667,3594.504845,777877.7232
132025,132026,295101000000.0,295101000000.0,29,510,112300,3,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,96.991692,0.0,96.991692,96.98587,737,660.0,426.0,0.535,172,0.403755869,166,0.389671362,88,0.20657277,357,157,143,57,0.43977591,171,13,2,48,108,0,13,2,48,68,0,0,40,0,49,39,83,0.286549708,6.805115013,7.599045098,1.763143435,0.134040144,0.020621561,0.494917456,1.113564275,0.0,0.134040144,0.020621561,0.494917456,0.701133062,0.0,0.0,0.412431213,0.0,8.568258448,0,0.401408451,0.64544156,0.555953099,0.814619085,0.630495647,0.531376562,0.482178224,0.503813066,0.77547258,0.376651982,0.647727273,2.087719298,0.336984178,23.57581617,4.063133928,1.434937496,18.07774474,87.99764005,46.18952312,0.0,0.0,52.78802642,52.78802642,505.6,0.0,0.0,9.33,61.56403581,0.01265943,166319,119611,166573,95391,0.000813726,0.750171397,0.000743074,0.767642604,0.001709217,0.376684728,0.001575422,0.342485082,11,13,13,15,13.33333333,2841.180859,392519.9174
132026,132027,295101000000.0,295101000000.0,29,510,127100,1,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,160.3535682,0.0,160.3535682,155.57485,328,375.0,168.0,0.5,113,0.672619048,29,0.172619048,26,0.154761905,170,78,72,20,0.458823529,506,0,1,391,114,0,0,1,391,0,0,24,90,0,44,70,392,0.086956522,2.410415308,2.108309923,3.252453722,0.0,0.006427774,2.513259695,0.732766254,0.0,0.0,0.006427774,2.513259695,0.0,0.0,0.15426658,0.578499674,0.0,5.662869031,0,3.011904762,0.498178382,0.34005965,0.478436931,0.318957954,0.701440755,0.527839621,0.402386607,0.564326002,0.786570743,0.50295858,0.335968379,0.514771781,26.85697254,0.0,4.217501836,22.63947071,207.5932602,0.0,63.85888456,23.94708171,91.79714655,79.8236057,517.67,0.0,0.0,13.0,51.8853437,0.039634146,173762,124957,308889,191041,0.000850141,0.78374258,0.000776285,0.801952303,0.003169532,0.698515178,0.003155122,0.68590006,16,4,19,15,14.66666667,3720.804019,648941.5846
132027,132028,295101000000.0,295101000000.0,29,510,107400,2,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,86.0379961,0.0,86.0379961,83.2269,466,307.0,210.0,0.599,92,0.438095238,74,0.352380952,44,0.20952381,330,134,155,41,0.406060606,20,0,0,1,19,0,0,0,1,0,0,0,19,0,11,8,1,0.55,3.688711222,5.599151236,0.24030692,0.0,0.0,0.012015346,0.228291574,0.0,0.0,0.0,0.012015346,0.0,0.0,0.0,0.228291574,0.0,3.929018142,0,0.095238095,0.286396957,0.123344456,0.286396957,0.095465652,0.284633069,0.284709197,0.31363154,0.054550443,0.082304527,0.114285714,16.5,1.85539e-07,21.20646955,0.764178555,11.22685798,9.215433015,62.00051421,0.0,14.87714798,29.75429596,22.31572197,7.438573991,871.73,0.0,0.0,1.33,9.893303408,0.002854077,146515,115379,78363,52476,0.000716833,0.660846699,0.000716783,0.740482364,0.000804088,0.177208463,0.000866663,0.188406109,5,2,11,13,9.166666667,2467.745439,348187.85
132028,132029,295101000000.0,295101000000.0,29,510,112100,2,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,179.0704048,0.0,179.0704048,179.0704,2422,1723.0,1489.0,0.832,225,0.151108126,870,0.584284755,394,0.264607119,1186,248,285,653,0.209106239,320,0,62,1,204,53,0,62,1,88,53,0,116,0,133,104,83,0.415625,9.621914063,13.52540677,1.787006674,0.0,0.346232543,0.005584396,1.139216755,0.29597298,0.0,0.346232543,0.005584396,0.491426835,0.29597298,0.0,0.647789919,0.0,11.40892074,0,0.214909335,0.664222289,0.572129939,0.842943385,0.652417976,0.391151797,0.491773779,0.547011287,0.421828899,0.233406273,0.424966799,3.70625,0.066786788,17.91657002,0.245708755,8.380351324,9.290509939,51.24062801,7.148026506,28.59210603,14.29605301,10.72203976,10.72203976,166.3,0.244264445,0.775271771,21.67,77.4488672,0.008947151,178896,125812,211767,105921,0.000875259,0.806899165,0.000781597,0.807439544,0.002172956,0.478885502,0.00174933,0.380291247,7,14,10,19,13.16666667,3635.945273,724688.2511
132029,132030,295101000000.0,295101000000.0,29,510,119101,1,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,24.6294454,0.0,24.6294454,24.6294454,707,541.0,504.0,0.815,127,0.251984127,267,0.529761905,110,0.218253968,372,111,82,179,0.298387097,256,27,5,1,140,83,27,5,1,114,83,0,26,0,83,87,86,0.32421875,21.96557784,28.70547787,10.39406271,1.096248801,0.203009037,0.040601807,5.684253045,3.369950019,1.096248801,0.203009037,0.040601807,4.628606051,3.369950019,0.0,1.055646994,0.0,32.35964055,0,0.507936508,0.640598578,0.640598578,0.721902442,0.622030247,0.550410959,0.680892309,0.757262303,0.705184524,0.531671859,0.815286624,1.453125,0.635638674,12.60511359,0.0,0.0,12.60511359,25.98515677,0.0,0.0,0.0,0.0,25.98515677,197.14,0.0,1.0,10.0,259.8515678,0.014144272,191936,132034,207661,123629,0.000939058,0.865715265,0.000820251,0.847371258,0.002130824,0.469600279,0.002041785,0.443868795,12,12,7,19,12.66666667,1586.180092,99676.01704
132030,132031,295101000000.0,295101000000.0,29,510,119101,3,476.0,"St. Louis-St. Charles-Farmington, MO-IL",41180.0,"St. Louis, MO-IL",2805551,1358210,1335660,30.4145506,0.0,30.4145506,30.4145506,776,374.0,374.0,0.909,52,0.139037433,224,0.598930481,98,0.262032086,235,66,42,127,0.280851064,115,0,8,3,67,37,0,8,3,22,37,0,45,0,23,57,35,0.2,12.29674589,25.51410377,3.781084965,0.0,0.263031998,0.098636999,2.20289298,1.216522989,0.0,0.263031998,0.098636999,0.723337993,1.216522989,0.0,1.479554986,0.0,16.07783085,0,0.307486631,0.692603122,0.596575857,0.825722342,0.639089301,0.479207874,0.578920247,0.641094859,0.893603388,0.258136925,0.657142857,2.043478261,0.35222741,17.88828138,0.0,0.0,17.88828138,77.16306681,0.0,0.0,0.0,21.04255981,63.12767942,257.5,0.0,0.127293996,5.0,105.212799,0.006443299,207621,140758,263088,160364,0.001015798,0.936461472,0.000874448,0.903360374,0.002699565,0.594941747,0.002648479,0.575759534,9,13,12,18,13.66666667,1837.54735,123085.1634
